회사명,거래소코드,회계년도,자본잉여금(*)(천원),자본잉여금(*)(IFRS)(천원)
(주)DB하이텍,000990,1981/12,3028758,
(주)DB하이텍,000990,1982/12,3028758,
(주)DB하이텍,000990,1983/12,1978758,
(주)DB하이텍,000990,1984/12,1978758,
(주)DB하이텍,000990,1985/12,1978758,
(주)DB하이텍,000990,1986/12,978758,
(주)DB하이텍,000990,1987/12,978758,
(주)DB하이텍,000990,1988/12,1645758,
(주)DB하이텍,000990,1989/12,1645758,
(주)DB하이텍,000990,1990/12,1645758,
(주)DB하이텍,000990,1991/12,1645758,
(주)DB하이텍,000990,1992/12,1645758,
(주)DB하이텍,000990,1993/12,46028612,
(주)DB하이텍,000990,1994/12,46028612,
(주)DB하이텍,000990,1995/12,46028611,
(주)DB하이텍,000990,1996/12,46028612,
(주)DB하이텍,000990,1997/12,54188611,
(주)DB하이텍,000990,1998/12,198012046,
(주)DB하이텍,000990,1999/12,214021129,
(주)DB하이텍,000990,2000/12,215793525,
(주)DB하이텍,000990,2001/12,215793525,
(주)DB하이텍,000990,2002/12,215793525,
(주)DB하이텍,000990,2003/12,215793525,
(주)DB하이텍,000990,2004/12,215793525,
(주)DB하이텍,000990,2005/12,216905261,
(주)DB하이텍,000990,2006/12,217436158,
(주)DB하이텍,000990,2007/12,695336977,695336977
(주)DB하이텍,000990,2008/12,696653858,696653858
(주)DB하이텍,000990,2009/12,697263645,697263645
(주)DB하이텍,000990,2010/12,688287464,685419873
(주)DB하이텍,000990,2011/12,684521719,684521719
(주)DB하이텍,000990,2012/12,691522472,691522472
(주)DB하이텍,000990,2013/12,128092276,128092276
(주)DB하이텍,000990,2014/12,128092276,128092276
(주)DB하이텍,000990,2015/12,128092276,128092276
(주)DB하이텍,000990,2016/12,128092276,128092276
(주)DB하이텍,000990,2017/12,128092276,128092276
(주)DB하이텍,000990,2018/12,128092276,128092276
(주)DB하이텍,000990,2019/12,128092276,128092276
(주)DB하이텍,000990,2020/12,128092276,128092276
(주)MH에탄올,023150,1989/12,0,
(주)MH에탄올,023150,1990/12,0,
(주)MH에탄올,023150,1991/12,0,
(주)MH에탄올,023150,1992/12,0,
(주)MH에탄올,023150,1993/12,0,
(주)MH에탄올,023150,1994/12,0,
(주)MH에탄올,023150,1995/12,0,
(주)MH에탄올,023150,1996/12,2340000,
(주)MH에탄올,023150,1997/12,2340000,
(주)MH에탄올,023150,1998/12,6095684,
(주)MH에탄올,023150,1999/12,6095684,
(주)MH에탄올,023150,2000/12,10167215,
