회사명,거래소코드,회계년도,보통주자본금(천원),보통주자본금(IFRS)(천원)
(주)DB하이텍,000990,1981/12,2250000,
(주)DB하이텍,000990,1982/12,2250000,
(주)DB하이텍,000990,1983/12,3300000,
(주)DB하이텍,000990,1984/12,3300000,
(주)DB하이텍,000990,1985/12,3300000,
(주)DB하이텍,000990,1986/12,5000000,
(주)DB하이텍,000990,1987/12,5000000,
(주)DB하이텍,000990,1988/12,8650000,
(주)DB하이텍,000990,1989/12,8650000,
(주)DB하이텍,000990,1990/12,8650000,
(주)DB하이텍,000990,1991/12,8650000,
(주)DB하이텍,000990,1992/12,8650000,
(주)DB하이텍,000990,1993/12,8650000,
(주)DB하이텍,000990,1994/12,8650000,
(주)DB하이텍,000990,1995/12,8650000,
(주)DB하이텍,000990,1996/12,8650000,
(주)DB하이텍,000990,1997/12,24466010,
(주)DB하이텍,000990,1998/12,24466010,
(주)DB하이텍,000990,1999/12,48932020,
(주)DB하이텍,000990,2000/12,49645225,
(주)DB하이텍,000990,2001/12,49645225,
(주)DB하이텍,000990,2002/12,49645225,
(주)DB하이텍,000990,2003/12,49645225,
(주)DB하이텍,000990,2004/12,49645225,
(주)DB하이텍,000990,2005/12,49645225,
(주)DB하이텍,000990,2006/12,49645225,
(주)DB하이텍,000990,2007/12,185982190,185982190
(주)DB하이텍,000990,2008/12,185984525,185984525
(주)DB하이텍,000990,2009/12,188731320,188731320
(주)DB하이텍,000990,2010/12,211587295,211586970
(주)DB하이텍,000990,2011/12,213899420,213899420
(주)DB하이텍,000990,2012/12,221839160,221839160
(주)DB하이텍,000990,2013/12,221839160,221839160
(주)DB하이텍,000990,2014/12,221839160,221839160
(주)DB하이텍,000990,2015/12,221839160,221839160
(주)DB하이텍,000990,2016/12,221839160,221839160
(주)DB하이텍,000990,2017/12,221839160,221839160
(주)DB하이텍,000990,2018/12,221992940,221992940
(주)DB하이텍,000990,2019/12,221992940,221992940
(주)DB하이텍,000990,2020/12,221992940,221992940
(주)MH에탄올,023150,1989/12,2200000,
(주)MH에탄올,023150,1990/12,2200000,
(주)MH에탄올,023150,1991/12,2200000,
(주)MH에탄올,023150,1992/12,2200000,
(주)MH에탄올,023150,1993/12,2200000,
(주)MH에탄올,023150,1994/12,2200000,
(주)MH에탄올,023150,1995/12,3000000,
(주)MH에탄올,023150,1996/12,4300000,
(주)MH에탄올,023150,1997/12,4300000,
(주)MH에탄올,023150,1998/12,4407500,
(주)MH에탄올,023150,1999/12,4407500,
(주)MH에탄올,023150,2000/12,4407500,
(주)MH에탄올,023150,2001/12,4407500,
(주)MH에탄올,023150,2002/12,4407500,
(주)MH에탄올,023150,2003/12,4407500,
(주)MH에탄올,023150,2004/12,4407500,
(주)MH에탄올,023150,2005/12,4407500,
(주)MH에탄올,023150,2006/12,4407500,
(주)MH에탄올,023150,2007/12,4407500,4407500
(주)MH에탄올,023150,2008/12,4407500,4407500
(주)MH에탄올,023150,2009/12,4407500,4407500
(주)MH에탄올,023150,2010/12,4407500,4407500
(주)MH에탄올,023150,2011/12,4407500,4407500
(주)MH에탄올,023150,2012/12,4407500,4407500
(주)MH에탄올,023150,2013/12,4407500,4407500
(주)MH에탄올,023150,2014/12,4596763,4596763
(주)MH에탄올,023150,2015/12,4596763,4596763
(주)MH에탄올,023150,2016/12,4596763,4596763
(주)MH에탄올,023150,2017/12,4596763,4596763
(주)MH에탄올,023150,2018/12,4596763,4596763
(주)MH에탄올,023150,2019/12,4596763,4596763
(주)MH에탄올,023150,2020/12,4596763,4596763
(주)SH에너지화학,002360,1985/06,1800000,
(주)SH에너지화학,002360,1986/06,3300000,
(주)SH에너지화학,002360,1987/06,5000000,
(주)SH에너지화학,002360,1988/06,7000000,
(주)SH에너지화학,002360,1989/06,12000000,
(주)SH에너지화학,002360,1990/06,12000000,
(주)SH에너지화학,002360,1991/06,12000000,
(주)SH에너지화학,002360,1992/06,12000000,
(주)SH에너지화학,002360,1993/06,12000000,
(주)SH에너지화학,002360,1994/06,12000000,
(주)SH에너지화학,002360,1995/06,12000000,
(주)SH에너지화학,002360,1996/06,18000000,
(주)SH에너지화학,002360,1997/06,18000000,
(주)SH에너지화학,002360,1998/06,18000000,
(주)SH에너지화학,002360,1999/06,18000000,
(주)SH에너지화학,002360,2000/06,18000000,
(주)SH에너지화학,002360,2001/06,14933305,
(주)SH에너지화학,002360,2002/06,18543305,
(주)SH에너지화학,002360,2003/06,18543305,
(주)SH에너지화학,002360,2004/06,18543305,
(주)SH에너지화학,002360,2005/06,45475305,
(주)SH에너지화학,002360,2006/12,46066865,
(주)SH에너지화학,002360,2007/12,46566865,46566865
(주)SH에너지화학,002360,2008/12,55566865,55566865
(주)SH에너지화학,002360,2009/12,55566865,55566865
(주)SH에너지화학,002360,2010/12,55566865,55566865
(주)SH에너지화학,002360,2011/12,55566865,55566865
(주)SH에너지화학,002360,2012/12,55566865,55566865
(주)SH에너지화학,002360,2013/12,55566865,55566865
(주)SH에너지화학,002360,2014/12,55566865,55566865
(주)SH에너지화학,002360,2015/12,55566865,55566865
(주)SH에너지화학,002360,2016/12,55566865,55566865
(주)SH에너지화학,002360,2017/12,55566865,55566865
(주)SH에너지화학,002360,2018/12,55566865,55566865
(주)SH에너지화학,002360,2019/12,55566865,55566865
(주)SH에너지화학,002360,2020/12,55566865,55566865
(주)SIMPAC,009160,1985/12,2000000,
(주)SIMPAC,009160,1986/12,2000000,
(주)SIMPAC,009160,1987/12,2000000,
(주)SIMPAC,009160,1988/12,4000000,
(주)SIMPAC,009160,1989/12,6000000,
(주)SIMPAC,009160,1990/12,10677600,
(주)SIMPAC,009160,1991/12,15375750,
(주)SIMPAC,009160,1992/12,19219700,
(주)SIMPAC,009160,1993/12,19219700,
(주)SIMPAC,009160,1994/12,19219700,
(주)SIMPAC,009160,1995/12,19752745,
(주)SIMPAC,009160,1996/12,19752745,
(주)SIMPAC,009160,1997/12,19752745,
(주)SIMPAC,009160,1998/12,19752745,
(주)SIMPAC,009160,1999/12,39500000,
(주)SIMPAC,009160,2000/12,39500000,
(주)SIMPAC,009160,2001/12,13000000,
(주)SIMPAC,009160,2002/12,13000000,
(주)SIMPAC,009160,2003/12,13000000,
(주)SIMPAC,009160,2004/12,13000000,
(주)SIMPAC,009160,2005/12,13000000,
(주)SIMPAC,009160,2006/12,13000000,
(주)SIMPAC,009160,2007/12,13780500,13780500
(주)SIMPAC,009160,2008/12,13780500,13780500
(주)SIMPAC,009160,2009/12,13780500,13780500
(주)SIMPAC,009160,2010/12,14542463,14542463
(주)SIMPAC,009160,2011/12,14542463,14542463
(주)SIMPAC,009160,2012/12,14542462,14542462
(주)SIMPAC,009160,2013/12,14542463,14542463
(주)SIMPAC,009160,2014/12,14542463,14542463
(주)SIMPAC,009160,2015/12,14542463,14542463
(주)SIMPAC,009160,2016/12,14542463,14542463
