회사명,거래소코드,회계년도,매출원가(*)(천원),매출원가(*)(IFRS)(천원)
(주)DB하이텍,000990,1981/12,44900012,
(주)DB하이텍,000990,1982/12,43626871,
(주)DB하이텍,000990,1983/12,48293503,
(주)DB하이텍,000990,1984/12,62450921,
(주)DB하이텍,000990,1985/12,64616448,
(주)DB하이텍,000990,1986/12,68384550,
(주)DB하이텍,000990,1987/12,77490000,
(주)DB하이텍,000990,1988/12,68273117,
(주)DB하이텍,000990,1989/12,71447654,
(주)DB하이텍,000990,1990/12,81042906,
(주)DB하이텍,000990,1991/12,96110391,
(주)DB하이텍,000990,1992/12,100948886,
(주)DB하이텍,000990,1993/12,105780074,
(주)DB하이텍,000990,1994/12,113900666,
(주)DB하이텍,000990,1995/12,114179796,
(주)DB하이텍,000990,1996/12,106362478,
(주)DB하이텍,000990,1997/12,370610400,
(주)DB하이텍,000990,1998/12,399852852,
(주)DB하이텍,000990,1999/12,403800670,
(주)DB하이텍,000990,2000/12,613470944,
(주)DB하이텍,000990,2001/12,604761518,
(주)DB하이텍,000990,2002/12,604084976,
(주)DB하이텍,000990,2003/12,664598457,
(주)DB하이텍,000990,2004/12,865695632,
(주)DB하이텍,000990,2005/12,988845185,
(주)DB하이텍,000990,2006/12,921828109,
(주)DB하이텍,000990,2007/12,1156009741,1156009741
(주)DB하이텍,000990,2008/12,1143619446,1143619446
(주)DB하이텍,000990,2009/12,1005609971,1005609971
(주)DB하이텍,000990,2010/12,727134499,727262560
(주)DB하이텍,000990,2011/12,443140034,443140034
(주)DB하이텍,000990,2012/12,486953432,486953432
(주)DB하이텍,000990,2013/12,404500718,404500718
(주)DB하이텍,000990,2014/12,430813375,430813375
(주)DB하이텍,000990,2015/12,436915515,436915515
(주)DB하이텍,000990,2016/12,483129939,483129939
(주)DB하이텍,000990,2017/12,426170592,426170592
(주)DB하이텍,000990,2018/12,453942755,453942755
(주)DB하이텍,000990,2019/12,513292637,513292637
(주)DB하이텍,000990,2020/12,577034944,577034944
(주)MH에탄올,023150,1989/12,14125118,
(주)MH에탄올,023150,1990/12,15638609,
(주)MH에탄올,023150,1991/12,15470078,
(주)MH에탄올,023150,1992/12,15973325,
(주)MH에탄올,023150,1993/12,16334704,
(주)MH에탄올,023150,1994/12,18105045,
(주)MH에탄올,023150,1995/12,17871691,
(주)MH에탄올,023150,1996/12,18398431,
(주)MH에탄올,023150,1997/12,18876216,
(주)MH에탄올,023150,1998/12,22686774,
(주)MH에탄올,023150,1999/12,25306257,
(주)MH에탄올,023150,2000/12,17866482,
(주)MH에탄올,023150,2001/12,19138707,
(주)MH에탄올,023150,2002/12,21312152,
(주)MH에탄올,023150,2003/12,21559701,
(주)MH에탄올,023150,2004/12,23664043,
(주)MH에탄올,023150,2005/12,27225985,
(주)MH에탄올,023150,2006/12,29883011,
(주)MH에탄올,023150,2007/12,28121968,28121968
(주)MH에탄올,023150,2008/12,31253895,31253895
(주)MH에탄올,023150,2009/12,31981361,31981361
(주)MH에탄올,023150,2010/12,32333340,31860037
(주)MH에탄올,023150,2011/12,32715976,32715976
(주)MH에탄올,023150,2012/12,35478357,35478357
(주)MH에탄올,023150,2013/12,33247791,33247791
(주)MH에탄올,023150,2014/12,37109977,37109977
(주)MH에탄올,023150,2015/12,36425005,36425005
(주)MH에탄올,023150,2016/12,33962392,33962392
(주)MH에탄올,023150,2017/12,34577247,34577247
(주)MH에탄올,023150,2018/12,34331318,34331318
(주)MH에탄올,023150,2019/12,35415661,35415661
(주)MH에탄올,023150,2020/12,38908939,38908939
(주)SH에너지화학,002360,1985/06,29880193,
(주)SH에너지화학,002360,1986/06,29205949,
(주)SH에너지화학,002360,1987/06,31640770,
(주)SH에너지화학,002360,1988/06,44249198,
(주)SH에너지화학,002360,1989/06,39881875,
(주)SH에너지화학,002360,1990/06,39049080,
(주)SH에너지화학,002360,1991/06,37996069,
(주)SH에너지화학,002360,1992/06,44538535,
(주)SH에너지화학,002360,1993/06,45668158,
(주)SH에너지화학,002360,1994/06,50861878,
(주)SH에너지화학,002360,1995/06,81814813,
(주)SH에너지화학,002360,1996/06,79166423,
(주)SH에너지화학,002360,1997/06,75735994,
(주)SH에너지화학,002360,1998/06,79054378,
(주)SH에너지화학,002360,1999/06,44139359,
(주)SH에너지화학,002360,2000/06,64651035,
(주)SH에너지화학,002360,2001/06,66983353,
(주)SH에너지화학,002360,2002/06,64520561,
(주)SH에너지화학,002360,2003/06,79863671,
(주)SH에너지화학,002360,2004/06,93401980,
(주)SH에너지화학,002360,2005/06,116043010,
(주)SH에너지화학,002360,2006/12,114050477,
(주)SH에너지화학,002360,2007/12,121848048,121848048
(주)SH에너지화학,002360,2008/12,129657535,129657535
(주)SH에너지화학,002360,2009/12,122351952,122351952
(주)SH에너지화학,002360,2010/12,137889317,137805193
(주)SH에너지화학,002360,2011/12,160574493,160574493
(주)SH에너지화학,002360,2012/12,178516652,178516652
(주)SH에너지화학,002360,2013/12,213397080,213397080
(주)SH에너지화학,002360,2014/12,196829927,196829927
(주)SH에너지화학,002360,2015/12,179081363,179081363
(주)SH에너지화학,002360,2016/12,179726464,179726464
(주)SH에너지화학,002360,2017/12,161711689,161711689
(주)SH에너지화학,002360,2018/12,169058462,169058462
(주)SH에너지화학,002360,2019/12,131861388,131861388
(주)SH에너지화학,002360,2020/12,90391446,90391446
(주)SIMPAC,009160,1985/12,10435791,
(주)SIMPAC,009160,1986/12,13548166,
(주)SIMPAC,009160,1987/12,14687407,
(주)SIMPAC,009160,1988/12,22211026,
(주)SIMPAC,009160,1989/12,21619296,
(주)SIMPAC,009160,1990/12,27283298,
(주)SIMPAC,009160,1991/12,32893016,
(주)SIMPAC,009160,1992/12,32418955,
(주)SIMPAC,009160,1993/12,37769856,
(주)SIMPAC,009160,1994/12,48034850,
(주)SIMPAC,009160,1995/12,49619033,
(주)SIMPAC,009160,1996/12,63509663,
(주)SIMPAC,009160,1997/12,65546662,
(주)SIMPAC,009160,1998/12,26742059,
(주)SIMPAC,009160,1999/12,28591197,
(주)SIMPAC,009160,2000/12,51559404,
(주)SIMPAC,009160,2001/12,37714207,
(주)SIMPAC,009160,2002/12,43686907,
(주)SIMPAC,009160,2003/12,65079407,
(주)SIMPAC,009160,2004/12,70745851,
(주)SIMPAC,009160,2005/12,73864956,
(주)SIMPAC,009160,2006/12,85049137,
(주)SIMPAC,009160,2007/12,87590244,87590244
(주)SIMPAC,009160,2008/12,107266208,107266208
(주)SIMPAC,009160,2009/12,96843144,96843144
(주)SIMPAC,009160,2010/12,143240977,143181567
(주)SIMPAC,009160,2011/12,169699426,169699426
(주)SIMPAC,009160,2012/12,182101881,182101881
(주)SIMPAC,009160,2013/12,163875499,163875499
(주)SIMPAC,009160,2014/12,188349315,188349315
(주)SIMPAC,009160,2015/12,171341851,171341851
(주)SIMPAC,009160,2016/12,175971604,175971604
(주)SIMPAC,009160,2017/12,168484356,168484356
(주)SIMPAC,009160,2018/12,243575353,243575353
(주)SIMPAC,009160,2019/12,357126998,357126998
(주)SIMPAC,009160,2020/12,244369272,244369272
(주)SNT에너지,100840,2008/12,148051759,148051759
(주)SNT에너지,100840,2009/12,123887372,123887372
(주)SNT에너지,100840,2010/12,188979905,188599110
(주)SNT에너지,100840,2011/12,181219511,181219511
(주)SNT에너지,100840,2012/12,191839172,191839172
(주)SNT에너지,100840,2013/12,161808099,161808099
(주)SNT에너지,100840,2014/12,203611420,203611420
(주)SNT에너지,100840,2015/12,202305297,202305297
(주)SNT에너지,100840,2016/12,204980319,204980319
(주)SNT에너지,100840,2017/12,146050315,146050315
(주)SNT에너지,100840,2018/12,118750224,118750224
(주)SNT에너지,100840,2019/12,170291934,170291934
(주)SNT에너지,100840,2020/12,190965139,190965139
(주)SNT홀딩스,036530,1997/12,16878741,
(주)SNT홀딩스,036530,1998/12,17748874,
(주)SNT홀딩스,036530,1999/12,25526918,
(주)SNT홀딩스,036530,2000/12,44598490,
(주)SNT홀딩스,036530,2001/12,61216541,
(주)SNT홀딩스,036530,2002/12,49879702,
(주)SNT홀딩스,036530,2003/12,37397222,
(주)SNT홀딩스,036530,2004/12,48566771,
(주)SNT홀딩스,036530,2005/12,69945830,
(주)SNT홀딩스,036530,2006/12,98760008,
(주)SNT홀딩스,036530,2007/12,127002373,127002373
(주)SNT홀딩스,036530,2008/12,16270106,16270106
(주)SNT홀딩스,036530,2009/12,8806492,8806492
(주)SNT홀딩스,036530,2010/12,1419235,0
(주)SNT홀딩스,036530,2011/12,0,0
(주)SNT홀딩스,036530,2012/12,0,0
(주)SNT홀딩스,036530,2013/12,0,0
(주)SNT홀딩스,036530,2014/12,0,0
(주)SNT홀딩스,036530,2015/12,0,0
(주)SNT홀딩스,036530,2016/12,0,0
(주)SNT홀딩스,036530,2017/12,0,0
(주)SNT홀딩스,036530,2018/12,0,0
(주)SNT홀딩스,036530,2019/12,0,0
(주)SNT홀딩스,036530,2020/12,0,0
(주)STX,011810,1985/12,51722874,
