회사명,거래소코드,회계년도,이연법인세부채(천원),이연법인세부채(IFRS)(천원)
(주)DB하이텍,000990,1981/12,0,
(주)DB하이텍,000990,1982/12,0,
(주)DB하이텍,000990,1983/12,0,
(주)DB하이텍,000990,1984/12,0,
(주)DB하이텍,000990,1985/12,0,
(주)DB하이텍,000990,1986/12,0,
(주)DB하이텍,000990,1987/12,0,
(주)DB하이텍,000990,1988/12,0,
(주)DB하이텍,000990,1989/12,0,
(주)DB하이텍,000990,1990/12,0,
(주)DB하이텍,000990,1991/12,0,
(주)DB하이텍,000990,1992/12,0,
(주)DB하이텍,000990,1993/12,0,
(주)DB하이텍,000990,1994/12,0,
(주)DB하이텍,000990,1995/12,0,
(주)DB하이텍,000990,1996/12,0,
(주)DB하이텍,000990,1997/12,0,
(주)DB하이텍,000990,1998/12,0,
(주)DB하이텍,000990,1999/12,0,
(주)DB하이텍,000990,2000/12,0,
(주)DB하이텍,000990,2001/12,0,
(주)DB하이텍,000990,2002/12,0,
(주)DB하이텍,000990,2003/12,0,
(주)DB하이텍,000990,2004/12,0,
(주)DB하이텍,000990,2005/12,0,
(주)DB하이텍,000990,2006/12,0,
(주)DB하이텍,000990,2007/12,0,0
(주)DB하이텍,000990,2008/12,0,37850612
(주)DB하이텍,000990,2009/12,0,38834831
(주)DB하이텍,000990,2010/12,0,40310775
(주)DB하이텍,000990,2011/12,0,42812363
(주)DB하이텍,000990,2012/12,0,42629043
(주)DB하이텍,000990,2013/12,0,42000784
(주)DB하이텍,000990,2014/12,0,32316058
(주)DB하이텍,000990,2015/12,0,18763482
(주)DB하이텍,000990,2016/12,0,9950317
(주)DB하이텍,000990,2017/12,0,0
(주)DB하이텍,000990,2018/12,0,0
(주)DB하이텍,000990,2019/12,0,0
(주)DB하이텍,000990,2020/12,0,0
(주)MH에탄올,023150,1989/12,0,
(주)MH에탄올,023150,1990/12,0,
(주)MH에탄올,023150,1991/12,0,
(주)MH에탄올,023150,1992/12,0,
(주)MH에탄올,023150,1993/12,0,
(주)MH에탄올,023150,1994/12,0,
(주)MH에탄올,023150,1995/12,0,
(주)MH에탄올,023150,1996/12,0,
(주)MH에탄올,023150,1997/12,0,
(주)MH에탄올,023150,1998/12,0,
(주)MH에탄올,023150,1999/12,0,
(주)MH에탄올,023150,2000/12,0,
(주)MH에탄올,023150,2001/12,0,
(주)MH에탄올,023150,2002/12,0,
(주)MH에탄올,023150,2003/12,0,
(주)MH에탄올,023150,2004/12,0,
(주)MH에탄올,023150,2005/12,260573,
(주)MH에탄올,023150,2006/12,229288,
(주)MH에탄올,023150,2007/12,79979,79979
(주)MH에탄올,023150,2008/12,248603,248603
(주)MH에탄올,023150,2009/12,0,2297179
(주)MH에탄올,023150,2010/12,0,3603889
(주)MH에탄올,023150,2011/12,0,4619034
(주)MH에탄올,023150,2012/12,0,4837880
(주)MH에탄올,023150,2013/12,0,0
(주)MH에탄올,023150,2014/12,0,0
(주)MH에탄올,023150,2015/12,0,0
(주)MH에탄올,023150,2016/12,0,543274
(주)MH에탄올,023150,2017/12,0,1460505
(주)MH에탄올,023150,2018/12,0,1458920
(주)MH에탄올,023150,2019/12,0,1306820
(주)MH에탄올,023150,2020/12,0,989798
(주)SH에너지화학,002360,1985/06,0,
(주)SH에너지화학,002360,1986/06,0,
(주)SH에너지화학,002360,1987/06,0,
(주)SH에너지화학,002360,1988/06,0,
