회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)DB하이텍,000990,1981/12,54125609,
(주)DB하이텍,000990,1982/12,54067025,
(주)DB하이텍,000990,1983/12,58189195,
(주)DB하이텍,000990,1984/12,73316980,
(주)DB하이텍,000990,1985/12,76663560,
(주)DB하이텍,000990,1986/12,83709636,
(주)DB하이텍,000990,1987/12,93202977,
(주)DB하이텍,000990,1988/12,85594569,
(주)DB하이텍,000990,1989/12,95164261,
(주)DB하이텍,000990,1990/12,111015018,
(주)DB하이텍,000990,1991/12,133098422,
(주)DB하이텍,000990,1992/12,150094664,
(주)DB하이텍,000990,1993/12,161087016,
(주)DB하이텍,000990,1994/12,165519578,
(주)DB하이텍,000990,1995/12,163491291,
(주)DB하이텍,000990,1996/12,164087192,
(주)DB하이텍,000990,1997/12,453778075,
(주)DB하이텍,000990,1998/12,522562259,
(주)DB하이텍,000990,1999/12,559780284,
(주)DB하이텍,000990,2000/12,811354526,
(주)DB하이텍,000990,2001/12,792006056,
(주)DB하이텍,000990,2002/12,742225438,
(주)DB하이텍,000990,2003/12,795024394,
(주)DB하이텍,000990,2004/12,1068282276,
(주)DB하이텍,000990,2005/12,1152170114,
(주)DB하이텍,000990,2006/12,1073524606,
(주)DB하이텍,000990,2007/12,1372190425,1372190425
(주)DB하이텍,000990,2008/12,1347649484,1347649484
(주)DB하이텍,000990,2009/12,1152892773,1152892773
(주)DB하이텍,000990,2010/12,593441908,593441908
(주)DB하이텍,000990,2011/12,534317238,534317238
(주)DB하이텍,000990,2012/12,583901597,583901597
(주)DB하이텍,000990,2013/12,493752028,493752028
(주)DB하이텍,000990,2014/12,567718224,567718224
(주)DB하이텍,000990,2015/12,666594987,666594987
(주)DB하이텍,000990,2016/12,773140180,773140180
(주)DB하이텍,000990,2017/12,679737744,679737744
(주)DB하이텍,000990,2018/12,669279136,669279136
(주)DB하이텍,000990,2019/12,807416423,807416423
(주)DB하이텍,000990,2020/12,935919766,935919766
(주)MH에탄올,023150,1989/12,16803835,
(주)MH에탄올,023150,1990/12,18651126,
(주)MH에탄올,023150,1991/12,18871987,
(주)MH에탄올,023150,1992/12,19433334,
(주)MH에탄올,023150,1993/12,19950413,
(주)MH에탄올,023150,1994/12,22392081,
(주)MH에탄올,023150,1995/12,21709284,
(주)MH에탄올,023150,1996/12,22688347,
(주)MH에탄올,023150,1997/12,23861446,
(주)MH에탄올,023150,1998/12,28669068,
(주)MH에탄올,023150,1999/12,31208015,
(주)MH에탄올,023150,2000/12,21305271,
(주)MH에탄올,023150,2001/12,23832170,
(주)MH에탄올,023150,2002/12,26670926,
(주)MH에탄올,023150,2003/12,29606383,
(주)MH에탄올,023150,2004/12,33230451,
(주)MH에탄올,023150,2005/12,35973518,
(주)MH에탄올,023150,2006/12,39046904,
(주)MH에탄올,023150,2007/12,40144655,40144655
(주)MH에탄올,023150,2008/12,43176371,43176371
(주)MH에탄올,023150,2009/12,43824891,43824891
(주)MH에탄올,023150,2010/12,43304589,43304589
(주)MH에탄올,023150,2011/12,43206995,43206995
(주)MH에탄올,023150,2012/12,45488675,45488675
(주)MH에탄올,023150,2013/12,46298516,46298516
(주)MH에탄올,023150,2014/12,48983781,48983781
(주)MH에탄올,023150,2015/12,50386203,50386203
(주)MH에탄올,023150,2016/12,48897025,48897025
(주)MH에탄올,023150,2017/12,48270464,48270464
(주)MH에탄올,023150,2018/12,46943080,46943080
(주)MH에탄올,023150,2019/12,46992295,46992295
(주)MH에탄올,023150,2020/12,51277355,51277355
(주)SH에너지화학,002360,1985/06,33488269,
(주)SH에너지화학,002360,1986/06,33366580,
(주)SH에너지화학,002360,1987/06,37114005,
(주)SH에너지화학,002360,1988/06,51900823,
(주)SH에너지화학,002360,1989/06,46405830,
(주)SH에너지화학,002360,1990/06,41809806,
(주)SH에너지화학,002360,1991/06,42471070,
(주)SH에너지화학,002360,1992/06,51075505,
(주)SH에너지화학,002360,1993/06,52536628,
(주)SH에너지화학,002360,1994/06,57322360,
(주)SH에너지화학,002360,1995/06,90150663,
(주)SH에너지화학,002360,1996/06,93779237,
(주)SH에너지화학,002360,1997/06,94290532,
(주)SH에너지화학,002360,1998/06,99399705,
(주)SH에너지화학,002360,1999/06,58015815,
(주)SH에너지화학,002360,2000/06,77800545,
(주)SH에너지화학,002360,2001/06,78123330,
(주)SH에너지화학,002360,2002/06,81354242,
(주)SH에너지화학,002360,2003/06,98018008,
(주)SH에너지화학,002360,2004/06,103545977,
(주)SH에너지화학,002360,2005/06,128906985,
(주)SH에너지화학,002360,2006/12,125777524,
(주)SH에너지화학,002360,2007/12,134600833,134600833
(주)SH에너지화학,002360,2008/12,139034353,139034353
(주)SH에너지화학,002360,2009/12,136846039,136846039
(주)SH에너지화학,002360,2010/12,150353519,150353519
(주)SH에너지화학,002360,2011/12,172752632,172752632
(주)SH에너지화학,002360,2012/12,191907628,191907628
(주)SH에너지화학,002360,2013/12,229783541,229783541
(주)SH에너지화학,002360,2014/12,226971465,226971465
(주)SH에너지화학,002360,2015/12,213882181,213882181
(주)SH에너지화학,002360,2016/12,214380015,214380015
(주)SH에너지화학,002360,2017/12,184672638,184672638
(주)SH에너지화학,002360,2018/12,180753289,180753289
(주)SH에너지화학,002360,2019/12,138161816,138161816
(주)SH에너지화학,002360,2020/12,91354318,91354318
(주)SIMPAC,009160,1985/12,12946340,
(주)SIMPAC,009160,1986/12,16688180,
(주)SIMPAC,009160,1987/12,18643680,
(주)SIMPAC,009160,1988/12,27325196,
(주)SIMPAC,009160,1989/12,27867025,
(주)SIMPAC,009160,1990/12,35614889,
(주)SIMPAC,009160,1991/12,43080973,
(주)SIMPAC,009160,1992/12,39004259,
(주)SIMPAC,009160,1993/12,40175781,
(주)SIMPAC,009160,1994/12,52017992,
(주)SIMPAC,009160,1995/12,56834856,
(주)SIMPAC,009160,1996/12,74906854,
(주)SIMPAC,009160,1997/12,76543673,
(주)SIMPAC,009160,1998/12,23831425,
(주)SIMPAC,009160,1999/12,36012578,
(주)SIMPAC,009160,2000/12,63886619,
