회사명,거래소코드,회계년도,판매비와관리비(영업비용)(*)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원)
(주)DB하이텍,000990,1981/12,4428756,
(주)DB하이텍,000990,1982/12,4386410,
(주)DB하이텍,000990,1983/12,5102411,
(주)DB하이텍,000990,1984/12,5600542,
(주)DB하이텍,000990,1985/12,6332204,
(주)DB하이텍,000990,1986/12,8237740,
(주)DB하이텍,000990,1987/12,8237619,
(주)DB하이텍,000990,1988/12,9066228,
(주)DB하이텍,000990,1989/12,11272535,
(주)DB하이텍,000990,1990/12,12453229,
(주)DB하이텍,000990,1991/12,16003084,
(주)DB하이텍,000990,1992/12,26838998,
(주)DB하이텍,000990,1993/12,32300056,
(주)DB하이텍,000990,1994/12,40532645,
(주)DB하이텍,000990,1995/12,38914699,
(주)DB하이텍,000990,1996/12,41425903,
(주)DB하이텍,000990,1997/12,79837982,
(주)DB하이텍,000990,1998/12,85049324,
(주)DB하이텍,000990,1999/12,111535727,
(주)DB하이텍,000990,2000/12,147373310,
(주)DB하이텍,000990,2001/12,130680807,
(주)DB하이텍,000990,2002/12,85691436,
(주)DB하이텍,000990,2003/12,89006881,
(주)DB하이텍,000990,2004/12,112911959,
(주)DB하이텍,000990,2005/12,130404805,
(주)DB하이텍,000990,2006/12,131052529,
(주)DB하이텍,000990,2007/12,231463875,231463875
(주)DB하이텍,000990,2008/12,292574615,292574615
(주)DB하이텍,000990,2009/12,277703231,277703231
(주)DB하이텍,000990,2010/12,147644897,147739458
(주)DB하이텍,000990,2011/12,126664477,126664477
(주)DB하이텍,000990,2012/12,111377822,111377822
(주)DB하이텍,000990,2013/12,98644291,98644291
(주)DB하이텍,000990,2014/12,91594343,91594343
(주)DB하이텍,000990,2015/12,105306648,105306648
(주)DB하이텍,000990,2016/12,118222593,118222593
(주)DB하이텍,000990,2017/12,111213462,111213462
(주)DB하이텍,000990,2018/12,102452079,102452079
(주)DB하이텍,000990,2019/12,112967914,112967914
(주)DB하이텍,000990,2020/12,119696018,119696018
(주)MH에탄올,023150,1989/12,754636,
(주)MH에탄올,023150,1990/12,779444,
(주)MH에탄올,023150,1991/12,857352,
(주)MH에탄올,023150,1992/12,1017844,
(주)MH에탄올,023150,1993/12,1002383,
(주)MH에탄올,023150,1994/12,1115135,
(주)MH에탄올,023150,1995/12,1152253,
(주)MH에탄올,023150,1996/12,1327243,
(주)MH에탄올,023150,1997/12,1412228,
(주)MH에탄올,023150,1998/12,1170161,
(주)MH에탄올,023150,1999/12,1214636,
(주)MH에탄올,023150,2000/12,1415079,
(주)MH에탄올,023150,2001/12,1667257,
(주)MH에탄올,023150,2002/12,1545524,
(주)MH에탄올,023150,2003/12,1794948,
(주)MH에탄올,023150,2004/12,2087190,
(주)MH에탄올,023150,2005/12,3752115,
(주)MH에탄올,023150,2006/12,4750691,
(주)MH에탄올,023150,2007/12,4766954,4766954
(주)MH에탄올,023150,2008/12,4898713,4898713
(주)MH에탄올,023150,2009/12,4403764,4403764
(주)MH에탄올,023150,2010/12,3671864,3653071
(주)MH에탄올,023150,2011/12,3594900,3594900
(주)MH에탄올,023150,2012/12,3491561,3491561
(주)MH에탄올,023150,2013/12,3400484,3400484
(주)MH에탄올,023150,2014/12,3126986,3126986
(주)MH에탄올,023150,2015/12,2867026,2867026
(주)MH에탄올,023150,2016/12,3057762,3057762
