회사명,거래소코드,회계년도,자산(*)(천원),자산(*)(IFRS)(천원)
(주)DB하이텍,000990,1981/12,29126200,
(주)DB하이텍,000990,1982/12,33985447,
(주)DB하이텍,000990,1983/12,38409436,
(주)DB하이텍,000990,1984/12,50639370,
(주)DB하이텍,000990,1985/12,49159480,
(주)DB하이텍,000990,1986/12,66963672,
(주)DB하이텍,000990,1987/12,69665896,
(주)DB하이텍,000990,1988/12,68111273,
(주)DB하이텍,000990,1989/12,80455877,
(주)DB하이텍,000990,1990/12,97207535,
(주)DB하이텍,000990,1991/12,109739868,
(주)DB하이텍,000990,1992/12,132517487,
(주)DB하이텍,000990,1993/12,202396075,
(주)DB하이텍,000990,1994/12,229631063,
(주)DB하이텍,000990,1995/12,231951974,
(주)DB하이텍,000990,1996/12,297705789,
(주)DB하이텍,000990,1997/12,712765012,
(주)DB하이텍,000990,1998/12,715165215,
(주)DB하이텍,000990,1999/12,837379964,
(주)DB하이텍,000990,2000/12,805756842,
(주)DB하이텍,000990,2001/12,811974426,
(주)DB하이텍,000990,2002/12,857182680,
(주)DB하이텍,000990,2003/12,879134604,
(주)DB하이텍,000990,2004/12,976639082,
(주)DB하이텍,000990,2005/12,1126572169,
(주)DB하이텍,000990,2006/12,1076069176,
(주)DB하이텍,000990,2007/12,3213715696,3213715696
(주)DB하이텍,000990,2008/12,3334536110,3334536110
(주)DB하이텍,000990,2009/12,2448081636,2448081636
(주)DB하이텍,000990,2010/12,1374101578,1363686317
(주)DB하이텍,000990,2011/12,1183957429,1183957429
(주)DB하이텍,000990,2012/12,1149069244,1149069244
(주)DB하이텍,000990,2013/12,1049494642,1049494642
(주)DB하이텍,000990,2014/12,1001959816,1001959816
(주)DB하이텍,000990,2015/12,1005673854,1005673854
(주)DB하이텍,000990,2016/12,1006370876,1006370876
(주)DB하이텍,000990,2017/12,977575054,977575054
(주)DB하이텍,000990,2018/12,1050696487,1050696487
(주)DB하이텍,000990,2019/12,1089400761,1089400761
(주)DB하이텍,000990,2020/12,1179256936,1179256936
(주)MH에탄올,023150,1989/12,15571605,
(주)MH에탄올,023150,1990/12,14889046,
(주)MH에탄올,023150,1991/12,14075400,
(주)MH에탄올,023150,1992/12,18421739,
(주)MH에탄올,023150,1993/12,22692684,
(주)MH에탄올,023150,1994/12,18923149,
(주)MH에탄올,023150,1995/12,23240241,
(주)MH에탄올,023150,1996/12,25968009,
(주)MH에탄올,023150,1997/12,26451550,
(주)MH에탄올,023150,1998/12,36635669,
(주)MH에탄올,023150,1999/12,33338002,
(주)MH에탄올,023150,2000/12,41556095,
(주)MH에탄올,023150,2001/12,46365419,
(주)MH에탄올,023150,2002/12,40621872,
(주)MH에탄올,023150,2003/12,45918577,
(주)MH에탄올,023150,2004/12,50811625,
(주)MH에탄올,023150,2005/12,49187808,
(주)MH에탄올,023150,2006/12,56528651,
(주)MH에탄올,023150,2007/12,62818445,62818445
(주)MH에탄올,023150,2008/12,86452344,86452344
(주)MH에탄올,023150,2009/12,111123888,111123888
(주)MH에탄올,023150,2010/12,114575923,127603795
(주)MH에탄올,023150,2011/12,135927085,135927085
(주)MH에탄올,023150,2012/12,139200817,139200817
(주)MH에탄올,023150,2013/12,122520742,122520742
(주)MH에탄올,023150,2014/12,85253876,85253876
(주)MH에탄올,023150,2015/12,78691328,78691328
(주)MH에탄올,023150,2016/12,72025138,72025138
(주)MH에탄올,023150,2017/12,107437079,107437079
(주)MH에탄올,023150,2018/12,109656889,109656889
(주)MH에탄올,023150,2019/12,101058662,101058662
(주)MH에탄올,023150,2020/12,97515830,97515830
(주)SH에너지화학,002360,1985/06,19127780,
(주)SH에너지화학,002360,1986/06,23632542,
(주)SH에너지화학,002360,1987/06,28552777,
(주)SH에너지화학,002360,1988/06,33934566,
(주)SH에너지화학,002360,1989/06,39401395,
(주)SH에너지화학,002360,1990/06,46814456,
(주)SH에너지화학,002360,1991/06,63379242,
(주)SH에너지화학,002360,1992/06,68010434,
(주)SH에너지화학,002360,1993/06,73286230,
(주)SH에너지화학,002360,1994/06,91259481,
(주)SH에너지화학,002360,1995/06,117916454,
(주)SH에너지화학,002360,1996/06,107803574,
(주)SH에너지화학,002360,1997/06,116032837,
(주)SH에너지화학,002360,1998/06,113437001,
(주)SH에너지화학,002360,1999/06,108095473,
(주)SH에너지화학,002360,2000/06,99599225,
(주)SH에너지화학,002360,2001/06,103620497,
(주)SH에너지화학,002360,2002/06,104336534,
(주)SH에너지화학,002360,2003/06,91878908,
(주)SH에너지화학,002360,2004/06,86011136,
(주)SH에너지화학,002360,2005/06,78364692,
(주)SH에너지화학,002360,2006/12,74694938,
(주)SH에너지화학,002360,2007/12,82235928,82235928
(주)SH에너지화학,002360,2008/12,96466166,96466166
(주)SH에너지화학,002360,2009/12,99399622,99399622
(주)SH에너지화학,002360,2010/12,90395449,94473095
(주)SH에너지화학,002360,2011/12,102383199,102383199
(주)SH에너지화학,002360,2012/12,102492810,102492810
(주)SH에너지화학,002360,2013/12,109984767,109984767
(주)SH에너지화학,002360,2014/12,109098264,109098264
(주)SH에너지화학,002360,2015/12,114048206,114048206
(주)SH에너지화학,002360,2016/12,122956894,122956894
(주)SH에너지화학,002360,2017/12,123261552,123261552
(주)SH에너지화학,002360,2018/12,120895795,120895795
(주)SH에너지화학,002360,2019/12,121126250,121126250
(주)SH에너지화학,002360,2020/12,116570206,116570206
(주)SIMPAC,009160,1985/12,13231896,
