종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5720","-80","-1.38","5800","5800","5650","78332","445282920","267823527400","46822295"
"006840","AK홀딩스","36300","-150","-0.41","36950","38050","36300","115000","4264945850","480886464300","13247561"
"027410","BGF","7090","10","0.14","7080","7190","7070","315988","2251527080","678632048190","95716791"
"282330","BGF리테일","188500","3000","1.62","185500","189000","185000","40180","7510785000","3258016281000","17283906"
"138930","BNK금융지주","7930","-50","-0.63","7960","8020","7920","1264261","10065882810","2584666500780","325935246"
"001460","BYC","452000","2000","0.44","447500","456500","442000","742","332731000","282325980000","624615"
"001465","BYC우","191000","-2500","-1.29","187000","191000","187000","221","42015500","41138535000","215385"
"001040","CJ","114000","-1500","-1.30","116500","117000","114000","96483","11094484000","3326177772000","29176998"
"079160","CJ CGV","32100","-1150","-3.46","34100","34800","32100","1859619","61348512950","1126710000000","35100000"
"00104K","CJ4우(전환)","92400","300","0.33","92400","92400","90200","4865","445648900","390529708800","4226512"
"000120","CJ대한통운","170000","1500","0.89","168500","170000","168000","46681","7892629500","3878098480000","22812344"
"011150","CJ씨푸드","4835","20","0.42","4825","4870","4760","577696","2781780445","173725287455","35930773"
"011155","CJ씨푸드1우","44150","50","0.11","44100","44300","44100","1062","46960700","8830000000","200000"
"001045","CJ우","66600","-200","-0.30","66800","67200","66300","2376","158104500","150530851800","2260223"
"097950","CJ제일제당","473500","-4000","-0.84","481000","485000","472500","46947","22359438500","7128157071000","15054186"
"097955","CJ제일제당 우","219500","-3500","-1.57","224500","224500","219500","4865","1073779000","291371543500","1327433"
"000590","CS홀딩스","76100","100","0.13","76500","76800","75700","4032","307089400","87856080200","1154482"
"012030","DB","1080","40","3.85","1045","1100","1025","4138405","4440151990","217267847640","201173933"
"016610","DB금융투자","7280","20","0.28","7270","7340","7240","102534","747329750","309009711920","42446389"
"005830","DB손해보험","51900","700","1.37","51200","52300","51100","193340","10029391600","3674520000000","70800000"
"000990","DB하이텍","56600","2800","5.20","54700","57300","54100","2556506","144064835200","2512960080800","44398588"
"000995","DB하이텍1우","125000","0","0.00","126500","128000","125000","1513","191536000","14039500000","112316"
"139130","DGB금융지주","9420","-50","-0.53","9560","9570","9390","464585","4403713260","1593353746860","169145833"
"001530","DI동일","190000","1500","0.80","188500","191000","185500","17750","3343233000","477024450000","2510655"
"000210","DL","83800","-1000","-1.18","85100","85100","83600","155181","13048914200","1756103079200","20955884"
"001880","DL건설","37100","200","0.54","37250","37300","36350","101778","3761493800","818176836400","22053284"
"000215","DL우","49300","50","0.10","49300","49600","49100","4681","230700350","83125469500","1686115"
"375500","DL이앤씨","139000","1000","0.72","138500","139500","136000","132387","18299087500","2690864582000","19358738"
"37550K","DL이앤씨우","78300","200","0.26","78100","78900","78100","5122","401704000","165517195500","2113885"
"004840","DRB동일","7910","-120","-1.49","8040","8070","7820","210240","1663083410","157646300000","19930000"
"155660","DSR","6870","-60","-0.87","6960","7040","6860","77646","537330320","109920000000","16000000"
"069730","DSR제강","6280","60","0.96","6230","6290","6160","93178","581484870","90432000000","14400000"
"017940","E1","57200","-200","-0.35","57900","59600","56100","71834","4158826200","392392000000","6860000"
"365550","ESR켄달스퀘어리츠","7100","150","2.16","6960","7100","6950","271308","1912785440","1017138900000","143259000"
"383220","F&F","497000","14000","2.90","491000","515000","479000","95361","46985541500","3807723255000","7661415"
"007700","F&F홀딩스","39200","150","0.38","39200","39600","38850","211829","8304249050","303352532000","7738585"
"114090","GKL","18900","-150","-0.79","19050","19100","18700","377342","7133653200","1169072163000","61855670"
"078930","GS","48050","-250","-0.52","48550","49350","47850","390227","18915725700","4464583912900","92915378"
"006360","GS건설","44800","-600","-1.32","45600","45650","44050","818806","36635696850","3829990886400","85490868"
"001250","GS글로벌","3060","0","0.00","3070","3100","3020","2007722","6133841610","252553317840","82533764"
"007070","GS리테일","38450","-550","-1.41","39200","39250","38200","611912","23587289100","2960650000000","77000000"
"078935","GS우","39150","50","0.13","39200","39250","38950","5757","225112900","69875937900","1784826"
"012630","HDC","14000","-300","-2.10","14350","14450","13900","678462","9539917850","836384094000","59741721"
"039570","HDC아이콘트롤스","13150","100","0.77","13000","13400","12800","83565","1090569350","216449000000","16460000"
"089470","HDC현대EP","6030","40","0.67","5990","6060","5950","97201","584470540","192357000000","31900000"
"294870","HDC현대산업개발","29650","50","0.17","30000","30000","29150","560121","16525456150","1954152334500","65907330"
"011200","HMM","47350","100","0.21","47250","47700","46200","6894792","323389604300","16354334259450","345392487"
"082740","HSD엔진","10600","-250","-2.30","10800","10950","10400","659052","6983369850","430353873200","40599422"
"003560","IHQ","2350","95","4.21","2255","2350","2205","4448754","10168824300","343654007800","146235748"
"175330","JB금융지주","7670","-30","-0.39","7710","7750","7640","350756","2690978620","1510858796980","196982894"
